raw.md
======

# Daily Feed Summary — 2026-04-29

Total: 12 relevant feeds (from 24)

| Date | Time | Title | PDF | GitHub | Stars | 논문 분석 | GitHub 분석 |
|------|------|-------|-----|--------|-------|-----------|-------------|
| 2026-04-29 | 18:07 | RT Marc Mapeke (at ICLR '26): Depth and surface normal model...... | https://arxiv.org/pdf/2509.23563 | https://github.com/facebookresearch/map-anything | 3241 | [분석](papers/2509.23563/paper.md) | [분석](papers/2509.23563/repo.md) |
| 2026-04-29 | 13:18 | RT David Novotny: ??? Echo-2 is live! It generates high-qual...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 15:43 | A bunch of folks have been building machine learning models ...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 15:00 | Scaling 3D scene data is a long-standing challenge in scene ...... | https://arxiv.org/pdf/2602.23843 | https://github.com/Perkins729/OmniXtreme | 626 | [분석](papers/2602.23843/paper.md) | [분석](papers/2602.23843/repo.md) |
| 2026-04-29 | 13:01 | ?Echo-2 is here - our new world model! These aren’t videos...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 12:52 | Massive VRAM improvements and 8K training are coming to Lich...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 07:24 | In this paper is proposed SDFRaster, a rasterizable SDF repr...... | https://arxiv.org/pdf/2604.23537 | N/A | N/A | [분석](papers/2604.23537/paper.md) | N/A |
| 2026-04-29 | 18:22 | I just made all my 3D Gaussian Splatting captures freely dow...... | N/A | https://github.com/apinanaivot/IKEA-3D-Model-Download-Button | 1085 | N/A | [분석](repos/apinanaivot_IKEA-3D-Model-Download-Button.md) |
| 2026-04-29 | 19:14 | Looking for a solution for GPS-denied UAV navigation? Mohame...... | N/A | https://github.com/autowarefoundation/autoware | 11431 | N/A | [분석](repos/autowarefoundation_autoware.md) |
| 2026-04-29 | 06:52 | Bringing a Personal Point of View: Evaluating Dynamic 3D Gau...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 11:27 | SLAM test at the Mall! Insight 9 handles smooth floors and c...... | N/A | N/A | N/A | N/A | N/A |
| 2026-04-29 | 15:40 | Building multi-camera pipelines? Timing is everything. With ...... | N/A | N/A | N/A | N/A | N/A |
